Site          Lon          Lat      Delta E      Delta N      Delta V      Sigma E      Sigma N      Sigma V
P507  -115.612407    33.199975   -20.634000   -13.656000   -13.149000     0.123000     0.145000     0.501000
P508  -115.428707    33.247780   -15.615000    -7.378000    -0.932000     0.132000     0.154000     0.529000
P509  -115.293919    32.890662   -13.558000    -6.745000    -3.373000     0.173000     0.200000     0.680000
P510  -115.343334    33.143574   -14.878000    -8.103000    -0.803000     0.178000     0.208000     0.731000
P511  -115.296103    33.886934   -15.427000    -8.606000    -0.620000     0.122000     0.140000     0.489000
P584  -116.951645    33.892604   -28.369000     8.871000     1.884000     0.115000     0.136000     0.451000
P585  -116.545749    34.019348   -22.303000     4.057000     1.454000     0.112000     0.133000     0.444000
P600  -116.211879    33.865846   -21.106000    -0.338000     0.177000     0.112000     0.134000     0.442000
P601  -116.080230    33.959296   -18.356000    -3.683000     0.009000     0.117000     0.138000     0.461000
P607  -115.820655    33.741039   -17.805000    -5.661000    -0.583000     0.094000     0.110000     0.384000
P608  -115.686605    33.994083   -16.014000    -7.825000    -0.524000     0.118000     0.140000     0.464000
P609  -116.892821    34.062687   -24.514000     6.692000    -0.082000     0.356000     0.421000     1.667000
P740  -116.595979    33.598195   -29.909000     8.859000    -0.470000     0.142000     0.170000     0.822000
P741  -116.531024    33.557474   -29.380000     8.133000     0.765000     0.167000     0.176000     0.679000
P742  -116.602576    33.495543   -32.850000    10.960000     0.631000     0.124000     0.147000     0.508000
P744  -115.508407    32.829382   -22.025000     9.275000     2.724000     0.247000     0.284000     0.975000
P797  -116.592529    33.537293   -31.572000     9.460000     1.082000     0.167000     0.200000     0.726000
PIN1  -116.458164    33.612157   -27.924000     6.364000    -0.034000     0.065000     0.076000     0.259000
PIN2  -116.457622    33.612149   -27.596000     7.424000     0.507000     0.133000     0.156000     0.535000
PMOB  -116.859551    33.357241   -36.695000    15.730000     0.097000     0.146000     0.165000     0.601000
POBG  -116.923751    33.687133   -34.162000    12.969000    -0.904000     0.269000     0.313000     1.023000
PPBF  -117.182093    33.835728   -33.448000    13.255000     1.012000     0.133000     0.149000     0.553000
PSAP  -116.493995    33.819238   -25.238000     6.659000     0.179000     0.161000     0.187000     0.652000
RAAP  -116.917253    33.042237   -39.236000    16.611000    -0.449000     0.168000     0.198000     0.674000
ROCH  -116.609775    33.611025   -30.257000     9.516000    -1.588000     0.539000     0.565000     2.348000
SGPS  -116.695689    33.912537   -26.330000     7.733000    -0.418000     0.166000     0.207000     0.715000
SLMS  -115.977845    33.292228   -24.791000     5.689000    -0.571000     0.165000     0.190000     0.656000
SNOG  -116.807793    34.035212   -24.792000     5.813000    -0.544000     0.503000     0.556000     2.647000
THMG  -116.077252    33.650640   -21.920000     0.504000    -0.387000     0.131000     0.156000     0.528000
TMAP  -116.160464    33.641246   -24.846000     4.082000     0.507000     0.229000     0.264000     0.934000
USGC  -116.085339    33.030065   -35.096000    14.045000    -0.132000     0.129000     0.150000     0.512000
VTOR  -117.193189    33.225016   -38.471000    17.021000    -1.565000     0.114000     0.134000     0.449000
WIDC  -116.391785    33.934758   -22.248000     3.386000     1.282000     0.154000     0.180000     0.637000
WMDG  -115.581897    33.038324   -22.786000    -2.535000   -11.074000     0.460000     0.531000     1.797000
WWFG  -115.578781    33.278835   -18.386000    -8.816000    -2.602000     0.204000     0.237000     0.810000
WWMT  -116.653860    33.955314   -24.377000     6.760000     0.516000     0.122000     0.141000     0.498000
7ODM  -117.093197    34.116408   -27.121000     5.838000    -0.686000     0.190000     0.231000     0.815000
