Site          Lon          Lat      Delta E      Delta N      Delta V      Sigma E      Sigma N      Sigma V
GMPK  -114.827347    33.051084     1.769640    -1.970650    -0.684816     0.313947     0.365123     1.364453
IID2  -115.031804    32.706168     7.359603    -4.292745    -0.992774     0.297097     0.350955     1.247817
P499  -115.487914    32.979606     1.931054    -9.400469     0.668483     0.291891     0.342312     1.219653
P500  -115.299933    32.690046    12.283891   -12.540173     0.438303     0.280181     0.336806     1.140766
P501  -115.397914    32.875756     3.109161   -11.023336     0.828573     0.287773     0.348138     1.191560
P502  -115.421913    32.982450     1.870937    -8.353048     1.136570     0.290019     0.352150     1.200679
P508  -115.428707    33.247780     0.354677    -4.670191     0.651837     0.288847     0.345983     1.187426
P509  -115.293919    32.890662     3.064828    -7.699326     0.606318     0.277898     0.334891     1.126954
P510  -115.343334    33.143574     0.552432    -5.217309    -0.144948     0.290733     0.348747     1.245531
